"section","section_title","status","internal_id","citation","title","enacted_date","validity_status","validity_verified_date","nodes_built","issue","resolution","notes"
"1","Annex content dropped by footer-strip logic","Resolved","","46/2026/TT-BXD","Thông tư số 46/2026/TT-BXD Ban hành QCVN 01:2026/BXD Quy chuẩn kỹ thuật quốc gia về quy hoạch đô thị và nông thôn","2026-06-30","chua_co_hieu_luc","","","QCVN annex (~145KB) — 0% captured (dropped)","96% captured after fix",""
"1","Annex content dropped by footer-strip logic","Resolved","","102/2026/TT-BTC","Thông tư số 102/2026/TT-BTC Hướng dẫn một số nội dung về giám sát, kiểm tra, đánh giá, xếp loại, báo cáo và công khai thông tin trong quản lý và đầu tư vốn nhà nước tại doanh nghiệp","2026-07-17","con_hieu_luc","","","Biểu số report-form annexes — 32% captured","75% captured after fix",""
"2","Điều header without a period","Resolved","","04/1998/QH10","Luật Sửa đổi, bổ sung một số điều của Luật thuế xuất khẩu, thuế nhập khẩu số 04/1998/QH10","1998-05-20","het_hieu_luc","","37","Điều header without period — 0 document_node rows","Nodes rebuilt from stored fullText",""
"2","Điều header without a period","Resolved","","06/1998/QH10","Luật Sửa đổi, bổ sung một số điều của Luật Ngân sách Nhà nước số 06/1998/QH10","1998-05-20","het_hieu_luc","","112","Điều header without period — 0 document_node rows","Nodes rebuilt from stored fullText",""
"2","Điều header without a period","Resolved","","10/1998/QH10","Luật Sửa đổi, bổ sung một số điều của Luật Đất đai số 10/1998/QH10","1998-12-02","het_hieu_luc","","66","Điều header without period — 0 document_node rows","Nodes rebuilt from stored fullText",""
"2","Điều header without a period","Resolved","","20/2000/QH10","Luật Sửa đổi, bổ sung một số điều của Bộ luật Tố tụng hình sự số 20/2000/QH10","2000-06-09","het_hieu_luc","","103","Điều header without period — 0 document_node rows","Nodes rebuilt from stored fullText",""
"2","Điều header without a period","Resolved","","26/2004/QH11","Luật Sửa đổi, bổ sung một số điều của Luật Khiếu nại, tố cáo số 26/2004/QH11","2004-06-15","het_hieu_luc","","20","Điều header without period — 0 document_node rows","Nodes rebuilt from stored fullText",""
"2","Điều header without a period","Resolved","","31/2013/QH13","Luật Sửa đổi, bổ sung một số điều của Luật Thuế giá trị gia tăng số 13/2008/QH12 số 31/2013/QH13","2013-06-19","het_hieu_luc","","61","Điều header without period — 0 document_node rows","Nodes rebuilt from stored fullText",""
"2","Điều header without a period","Resolved","","32/2013/QH13","Luật Sửa đổi, bổ sung một số điều của Luật Thuế thu nhập doanh nghiệp số 32/2013/QH13","2013-06-19","het_hieu_luc_mot_phan","","95","Điều header without period — 0 document_node rows","Nodes rebuilt from stored fullText",""
"2","Điều header without a period","Resolved","","36/2013/QH13","Luật Sửa đổi, bổ sung một số điều của Luật Cư trú số 36/2013/QH13","2013-06-20","con_hieu_luc","","23","Điều header without period — 0 document_node rows","Nodes rebuilt from stored fullText",""
